time (ms),CO2 (ppm),200ms delay
374204.00,541.56,
374415.00,531.88,
374626.00,498.44,
374837.00,544.53,
375048.00,535,
375259.00,507.81,
375470.00,537.34,
375683.00,540.47,
375894.00,508.91,
376104.00,527.97,
376315.00,542.03,
376526.00,527.5,
376737.00,527.03,
376948.00,543.28,
377159.00,541.56,
377370.00,516.72,
377583.00,525.63,
377794.00,546.88,
378005.00,527.03,
378216.00,505.16,
378427.00,551.25,
378638.00,540.78,
378849.00,496.25,
379060.00,544.06,
379271.00,545.47,
379482.00,491.09,
379695.00,526.25,
379906.00,549.38,
380116.00,516.41,
380327.00,524.69,
380538.00,549.22,
380749.00,538.75,
380960.00,510.16,
381171.00,529.84,
381382.00,541.41,
381595.00,521.72,
381806.00,495.16,
382017.00,547.03,
382228.00,536.56,
382439.00,498.75,
382650.00,542.5,
382861.00,542.34,
383072.00,495.31,
383283.00,526.88,
383496.00,542.97,
383707.00,509.06,
383918.00,515.63,
384129.00,547.97,
384339.00,533.44,
384550.00,509.84,
384761.00,529.22,
,,
